Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
Let's Design Music Streaming App in Figma,https://www.youtube.com/watch?v=GfVA26-Z-SE,3_1,10.36,10.36,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,0.0,0.0,0.0,<1 second,1.0,0.5,
,,,10.37,10.37,,[multiselect] [references] on [canvas] using [cursor],,selection,multiselect,cursor,,canvas,multiselect,0.9999999999998863,0.9999999999998863,0.0,<1 second,1.0,0.5,
,,,10.37,10.37,,[create] [frame] from [reference],,grouping,framing,keyboard,,canvas,create frame,0.9999999999998863,0.9999999999998863,0.0,<1 second,1.0,0.5,
,,,10.37,10.37,,[hover] over [reference(s)] in [layers panel],,wayfinding,wayfinding using layers,cursor,,layers panel,wayfinding,0.9999999999998863,0.9999999999998863,0.0,<1 second,1.0,0.5,
,,,10.38,10.38,,[collapse] [group] on [layers panel],,wayfinding,wayfinding using layers,cursor,,layers panel,wayfinding,2.0000000000001137,2.0000000000001137,0.0,<1 second,1.0,0.5,
,,,10.38,10.4,rename layer,[update] [reference name],,rename,rename,multi_input,,layers panel,rename layer,2.0000000000001137,4.0,1.9999999999998863,<3 seconds,2.9999999999998863,2.4999999999998863,
,,,10.41,10.41,,[deselect],,selection,deselect,cursor,,canvas,deselect,5.0,5.0,0.0,<1 second,1.0,0.5,
,,,10.41,10.41,hover over all design objects in layers panel,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,layers panel,wayfinding,5.0,5.0,0.0,<1 second,1.0,0.5,
,,,10.42,10.44,,[zoom],,navigation,navigate,gesture,,canvas,wayfinding,6.0,8.0,2.0,<3 seconds,3.0,2.5,
,,,10.44,10.44,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,8.0,8.0,0.0,<1 second,1.0,0.5,
,,,10.45,10.45,,[deselect],,selection,deselect,cursor,,canvas,deselect,8.999999999999886,8.999999999999886,0.0,<1 second,1.0,0.5,
,,,10.46,10.46,,[zoom] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,10.000000000000114,10.000000000000114,0.0,<1 second,1.0,0.5,
,,,10.48,10.5,,[gui interaction],,gui interaction,gui interaction,cursor,,gui,change figma page,12.0,14.0,2.0,<3 seconds,3.0,2.5,
,,,10.51,10.52,,[zoom] to fit context in viewport,,navigation,navigate to fit context,complex gesture,,canvas,wayfinding,15.0,16.0,1.0,<2 seconds,2.0,1.5,
,,,10.52,10.52,,[pan] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,16.0,16.0,0.0,<1 second,1.0,0.5,
,,,10.53,10.53,,[zoom] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,16.999999999999886,16.999999999999886,0.0,<1 second,1.0,0.5,
,,,10.53,10.55,,[multiselect] [references] on [canvas] using [cursor],,selection,multiselect,cursor,,canvas,multiselect,16.999999999999886,19.000000000000114,2.0000000000002274,<3 seconds,3.0000000000002274,2.5000000000002274,
,,,10.55,10.55,,[zoom] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,19.000000000000114,19.000000000000114,0.0,<1 second,1.0,0.5,
,,,10.57,10.57,,[zoom] to fit context in viewport,,navigation,navigate to fit context,complex gesture,,canvas,wayfinding,21.0,21.0,0.0,<1 second,1.0,0.5,
,,,10.58,10.58,,[duplicate] [reference],,copy/paste/cut,copy/paste/cut,keyboard,,canvas,copy object,22.0,22.0,0.0,<1 second,1.0,0.5,
,,,10.58,10.58,,[drag] [reference] to [new position] using [cursor] and [freehand positioning],,positioning,freehand positioning,cursor,,canvas,positioning,22.0,22.0,0.0,<1 second,1.0,0.5,
,,,10.58,10.59,move selected to new position outside of the current frame,[drag] [reference] to [new position] using [cursor] and [reference(s)],,positioning,reference positioning,cursor,,canvas,positioning,22.0,23.0,1.0,<2 seconds,2.0,1.5,
,,,10.59,11.0,,[hover] over [reference(s)] in [layers panel],,wayfinding,wayfinding using layers,cursor,,layers panel,wayfinding,23.0,24.0,1.0,<2 seconds,2.0,1.5,
,,,11.0,11.0,,[zoom] to fit context in viewport,,navigation,navigate to fit context,complex gesture,,canvas,wayfinding,24.0,24.0,0.0,<1 second,1.0,0.5,
,,,11.02,11.03,,[zoom] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,26.0,26.999999999999886,0.9999999999998863,<2 seconds,1.9999999999998863,1.4999999999998863,
,,,11.04,11.04,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,27.999999999999886,27.999999999999886,0.0,<1 second,1.0,0.5,
,,,11.04,11.04,,[pan],,navigation,navigate,gesture,,canvas,wayfinding,27.999999999999886,27.999999999999886,0.0,<1 second,1.0,0.5,
,,,11.05,11.05,,[drag] to [multiselect] [references] on [canvas] using [cursor],,selection,multiselect,cursor,,canvas,multiselect,29.000000000000114,29.000000000000114,0.0,<1 second,1.0,0.5,
,,,11.06,11.06,,[zoom],,navigation,navigate,gesture,,canvas,wayfinding,30.0,30.0,0.0,<1 second,1.0,0.5,
