participant,task,input_mode,label,duration,modifier
V1,1,standard_input,task_1a,0.982,
V1,1,voice_control,task_1b,17.858,
V1,1,plugin,task_1c,3.554,
V1,2,standard_input,task_2a,1.566,
V1,2,voice_control,task_2b,28.003,
V1,2,plugin,task_2c,8.003,
V1,3,standard_input,task_3a,4.047,
V1,3,voice_control,task_3b,63.339,
V1,3,plugin,task_3c,5.672,
V1,4,standard_input,task_4a,3.72,
V1,4,voice_control,task_4b,56.195,
V1,4,plugin,task_4c,29.788,
V1,5,standard_input,task_5a,3.337,
V1,5,voice_control,task_5b,40.758,
V1,5,plugin,task_5c,146.76,
V10,1,standard_input,task_1a,0.982,
V10,1,voice_control,task_1b,12.477,
V10,1,plugin,task_1c,4.323,
V10,2,standard_input,task_2a,2.476,
V10,2,voice_control,task_2b,61.679,
V10,2,plugin,task_2c,3.551,
V10,3,standard_input,task_3a,3.457,
V10,3,voice_control,task_3b,29.541,
V10,3,plugin,task_3c,4.723,
V10,4,standard_input,task_4a,4.012,
V10,4,voice_control,task_4b,67.247,prompted
V10,5,standard_input,task_5a,4.372,
V10,5,voice_control,task_5b,52.333,
V10,5,plugin,task_5c,100.815,
V11,1,standard_input,task_1a,0.878,
V11,1,voice_control,task_1b,14.655,
V11,1,plugin,task_1c,7.514,
V11,2,standard_input,task_2a,1.576,
V11,2,plugin,task_2c,4.58,
V11,3,standard_input,task_3a,2.78,
V11,3,voice_control,task_3b,23.328,
V11,3,plugin,task_3c,4.412,
V11,4,standard_input,task_4a,5.278,
V11,4,voice_control,task_4b,50.758,prompted
V11,4,plugin,task_4c,27.268,
V11,5,standard_input,task_5a,3.813,
V11,5,voice_control,task_5b,42.876,
V11,5,plugin,task_5c,30.313,
V12,1,standard_input,task_1a,0.76,
V12,1,voice_control,task_1b,14.735,
V12,1,plugin,task_1c,4.503,
V12,2,standard_input,task_2a,1.696,
V12,2,voice_control,task_2b,25.07,
V12,2,plugin,task_2c,6.52,
V12,3,standard_input,task_3a,2.765,
V12,3,voice_control,task_3b,145.601,prompted
V12,3,plugin,task_3c,5.351,
V12,4,standard_input,task_4a,4.238,
V12,4,voice_control,task_4b,48.425,
V12,4,plugin,task_4c,104.631,
V12,5,standard_input,task_5a,3.134,
V12,5,voice_control,task_5b,45.314,
V12,5,plugin,task_5c,158.777,prompted
V13,1,standard_input,task_1a,0.608,
V13,1,voice_control,task_1b,11.108,
V13,1,plugin,task_1c,5.482,
V13,2,standard_input,task_2a,2.424,
V13,2,voice_control,task_2b,55.873,prompted
V13,2,plugin,task_2c,7.139,
V13,3,standard_input,task_3a,1.915,
V13,3,voice_control,task_3b,39.538,
V13,3,plugin,task_3c,6.004,
V13,4,standard_input,task_4a,5.052,
V13,4,voice_control,task_4b,170.795,prompted
V13,5,standard_input,task_5a,3.388,
V13,5,voice_control,task_5b,53.56,
V13,5,plugin,task_5c,154.637,
V14,1,standard_input,task_1a,0.781,
V14,1,voice_control,task_1b,11.251,
V14,1,plugin,task_1c,2.118,
V14,2,standard_input,task_2a,0.626,
V14,2,voice_control,task_2b,63.696,
V14,2,plugin,task_2c,6.952,
V14,3,standard_input,task_3a,2.518,
V14,3,voice_control,task_3b,46.7,
V14,3,plugin,task_3c,6.134,
V14,4,standard_input,task_4a,4.937,
V14,4,voice_control,task_4b,93.192,
V14,4,plugin,task_4c,108.078,prompted
V14,5,standard_input,task_5a,3.846,
V14,5,voice_control,task_5b,48.139,
V14,5,plugin,task_5c,36.331,
V15,1,standard_input,task_1a,0.709,
V15,1,voice_control,task_1b,13.277,
V15,1,plugin,task_1c,6.109,
V15,2,standard_input,task_2a,1.073,
V15,2,voice_control,task_2b,26.672,
V15,2,plugin,task_2c,3.657,
V15,3,standard_input,task_3a,2.019,
V15,3,voice_control,task_3b,25.15,
V15,3,plugin,task_3c,7.036,
V15,4,standard_input,task_4a,5.747,
V15,4,voice_control,task_4b,55.162,prompted
V15,4,plugin,task_4c,17.87,
V15,5,standard_input,task_5a,2.784,
V15,5,voice_control,task_5b,69.848,
V15,5,plugin,task_5c,102.44,prompted
V2,1,standard_input,task_1a,0.857,
V2,1,voice_control,task_1b,11.256,
V2,1,plugin,task_1c,3.091,
V2,2,standard_input,task_2a,2.619,
V2,2,voice_control,task_2b,40.39,
V2,2,plugin,task_2c,1.967,
V2,3,standard_input,task_3a,3.513,
V2,3,voice_control,task_3b,93.714,
V2,3,plugin,task_3c,2.752,
V2,4,standard_input,task_4a,2.834,
V2,4,plugin,task_4c,13.145,
V2,5,standard_input,task_5a,2.947,
V2,5,voice_control,task_5b,46.107,
V2,5,plugin,task_5c,36.585,
V3,1,standard_input,task_1a,1.107,
V3,1,voice_control,task_1b,16.413,
V3,1,plugin,task_1c,3.516,
V3,2,standard_input,task_2a,1.809,
V3,2,voice_control,task_2b,17.409,
V3,2,plugin,task_2c,2.506,
V3,3,standard_input,task_3a,2.488,
V3,3,plugin,task_3c,8.394,
V3,4,standard_input,task_4a,4.112,
V3,4,voice_control,task_4b,62.824,prompted
V3,4,plugin,task_4c,9.391,
V3,5,standard_input,task_5a,3.404,
V3,5,voice_control,task_5b,52.603,
V3,5,plugin,task_5c,35.106,
V4,1,standard_input,task_1a,0.739,
V4,1,voice_control,task_1b,16.001,
V4,1,plugin,task_1c,3.399,
V4,2,standard_input,task_2a,3.409,
V4,2,voice_control,task_2b,84.019,prompted
V4,2,plugin,task_2c,5.753,
V4,3,standard_input,task_3a,3.84,
V4,3,voice_control,task_3b,17.849,
V4,3,plugin,task_3c,7.085,
V4,4,standard_input,task_4a,6.574,
V4,4,voice_control,task_4b,52.345,
V4,5,standard_input,task_5a,3.37,
V4,5,plugin,task_5c,58.748,prompted
V5,1,standard_input,task_1a,1.056,
V5,1,voice_control,task_1b,17.906,
V5,1,plugin,task_1c,7.028,
V5,2,standard_input,task_2a,1.007,
V5,2,voice_control,task_2b,32.793,
V5,2,plugin,task_2c,4.182,
V5,3,standard_input,task_3a,3.183,
V5,3,voice_control,task_3b,56.424,
V5,3,plugin,task_3c,4.267,
V5,4,standard_input,task_4a,3.671,
V5,4,voice_control,task_4b,34.408,
V5,5,standard_input,task_5a,3.116,
V5,5,voice_control,task_5b,48.463,
V5,5,plugin,task_5c,62.65,
V6,1,standard_input,task_1a,1.48,
V6,1,voice_control,task_1b,15.66,
V6,1,plugin,task_1c,5.475,
V6,2,standard_input,task_2a,3.406,
V6,2,voice_control,task_2b,36.569,
V6,2,plugin,task_2c,4.736,
V6,3,standard_input,task_3a,3.548,
V6,3,voice_control,task_3b,40.312,
V6,3,plugin,task_3c,4.42,
V6,4,standard_input,task_4a,5.098,
V6,4,voice_control,task_4b,52.606,
V6,5,standard_input,task_5a,4.719,
V6,5,voice_control,task_5b,52.641,
V6,5,plugin,task_5c,59.845,
V7,1,standard_input,task_1a,0.728,
V7,1,voice_control,task_1b,14.334,
V7,1,plugin,task_1c,4.43,
V7,2,standard_input,task_2a,2.146,
V7,2,voice_control,task_2b,48.972,
