participant,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,mental,physical,temporal,performance,effort,frustration,SUS,RTLX,condition
1,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,standard
2,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,0.0,40.0,10.0,0.0,0.0,0.0,97.5,8.333333333333334,standard
3,5.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,0.0,15.0,5.0,5.0,10.0,10.0,97.5,7.5,standard
4,5.0,1.0,5.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,0.0,20.0,0.0,10.0,10.0,0.0,80.0,6.666666666666667,standard
5,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,standard
6,5.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,5.0,4.0,30.0,30.0,30.0,20.0,30.0,40.0,77.5,30.0,standard
7,4.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,30.0,45.0,15.0,25.0,15.0,25.0,77.5,25.833333333333332,standard
8,4.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,20.0,5.0,15.0,10.0,10.0,10.0,72.5,11.666666666666666,standard
9,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,80.0,30.0,50.0,0.0,10.0,0.0,100.0,28.333333333333332,standard
10,5.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,0.0,20.0,0.0,0.0,0.0,5.0,90.0,4.166666666666667,standard
11,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,20.0,10.0,10.0,0.0,0.0,0.0,100.0,6.666666666666667,standard
12,5.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,5.0,1.0,20.0,5.0,5.0,35.0,20.0,20.0,90.0,17.5,standard
13,4.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,0.0,50.0,0.0,10.0,0.0,10.0,87.5,11.666666666666666,standard
