participant,Figma - SUS,Figma - RTLX,Voice Control - SUS,Voice Control - RTLX,Plugin - SUS,Plugin - RTLX
1,100.0,0.0,10.0,67.5,47.5,60.0
2,97.5,8.3,47.5,45.0,60.0,29.2
3,97.5,7.5,15.0,78.3,47.5,44.2
4,80.0,6.7,62.5,51.7,85.0,20.0
5,97.5,0.0,57.5,50.8,45.0,47.5
6,77.5,30.0,57.5,60.0,47.5,63.3
7,77.5,25.8,47.5,46.7,67.5,30.0
8,72.5,11.7,47.5,55.0,65.0,40.8
9,100.0,28.3,55.0,42.5,77.5,28.3
10,90.0,4.2,27.5,56.7,45.0,50.0
11,100.0,6.7,75.0,34.2,80.0,30.8
12,90.0,17.5,70.0,38.3,67.5,38.3
13,87.5,11.7,67.5,55.8,70.0,55.0
14,80.0,10.8,27.5,50.0,50.0,49.2
15,80.0,6.7,50.0,51.7,70.0,34.2
