Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"Designing checkout UI for a bakery on Figma | Daily UI Challenge, Day 2",https://www.youtube.com/watch?v=k0fbFIAUwfA&t=1052s,4_1,61.28,61.29,select two objects by dragging the mouse,[drag] to [multiselect] [references] on [canvas] using [cursor],,,,,,,,0.0,1.0,1.0,<2 seconds,2.0,1.5,
,,,61.3,61.3,use as mask,[mask],,,,,,,,1.9999999999995453,1.9999999999995453,0.0,<1 second,1.0,0.5,
,,,61.31,61.31,undo,[undo],,,,,,,,3.0,3.0,0.0,<1 second,1.0,0.5,
,,,61.32,61.32,deselect,[deselect],,,,,,,,4.0,4.0,0.0,<1 second,1.0,0.5,
,,,61.33,61.33,hover over design object,[hover] over [references] on [canvas],,,,,,,,5.0,5.0,0.0,<1 second,1.0,0.5,
,,,61.33,61.33,hover over design object,[hover] over [references] on [canvas],,,,,,,,5.0,5.0,0.0,<1 second,1.0,0.5,
,,,61.33,61.33,select design object with mouse,[select] [reference] on [canvas] using [cursor],,,,,,,,5.0,5.0,0.0,<1 second,1.0,0.5,
,,,61.34,61.34,select multiple design objects with mouse,[multiselect] [references] on [canvas] using [cursor],,,,,,,,6.000000000000455,6.000000000000455,0.0,<1 second,1.0,0.5,
,,,61.36,61.36,use as mask,[mask],,,,,,,,8.0,8.0,0.0,<1 second,1.0,0.5,
,,,61.38,61.38,scroll layers panel,[gui interaction],,,,,,,,10.000000000000455,10.000000000000455,0.0,<1 second,1.0,0.5,
,,,61.39,61.39,select design object in layers panel,[select] [reference] on [layers panel] using [cursor],,,,,,,,11.0,11.0,0.0,<1 second,1.0,0.5,
,,,61.41,61.41,delete design object,[delete],,,,,,,,12.999999999999545,12.999999999999545,0.0,<1 second,1.0,0.5,
,,,61.42,61.42,select design object in layers panel,[select] [reference] on [layers panel] using [cursor],,,,,,,,14.0,14.0,0.0,<1 second,1.0,0.5,
,,,61.43,61.44,drag design object to new aligned position,[drag] [reference] to [new position] using [cursor] and [alignment grids],,alignment positioning,,,,,,15.0,16.0,1.0,<2 seconds,2.0,1.5,
,,,61.45,61.45,delete design object,[delete],,,,,,,,17.000000000000455,17.000000000000455,0.0,<1 second,1.0,0.5,
,,,61.45,61.46,pan to the side,[pan],,,,,,,,17.000000000000455,18.0,0.9999999999995453,<2 seconds,1.9999999999995453,1.4999999999995453,
,,,61.46,61.46,pan to focus a cluster,[pan] to focus [area of interest],,,,,,,,18.0,18.0,0.0,<1 second,1.0,0.5,
,,,61.47,61.47,zoom in to focus an area of interest,[zoom] to focus [area of interest],,,,,,,,19.0,19.0,0.0,<1 second,1.0,0.5,
,,,61.48,61.48,drag to create aligned rectangle,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [alignment grids],,creating design object using alignment,,,,,,19.999999999999545,19.999999999999545,0.0,<1 second,1.0,0.5,
,,,61.49,61.49,paste image into rectangle,[paste] into [frame],,,,,,,,21.0,21.0,0.0,<1 second,1.0,0.5,
,,,61.49,61.49,select design object,[select] [reference] on [canvas] using [cursor],,,,,,,,21.0,21.0,0.0,<1 second,1.0,0.5,
,,,61.5,61.5,deselect design object,[deselect],,,,,,,,22.0,22.0,0.0,<1 second,1.0,0.5,
,,,61.5,61.5,select design object,[select] [reference] on [canvas] using [cursor],,,,,,,,22.0,22.0,0.0,<1 second,1.0,0.5,
,,,61.5,61.55,drag design object to new position - aligned with a corner of an existing frame…,[drag] [reference] to [new position] using [cursor] and [reference],,reference positioning,,,,,,22.0,26.999999999999545,4.999999999999545,<6 seconds,5.999999999999545,5.499999999999545,
,,,61.56,61.57,drag to resize design object to 1/2 and a bit of the frame height,[drag] [reference] to [resize] using [reference],,,,,,,,28.0,29.0,1.0,<2 seconds,2.0,1.5,
,,,61.58,61.59,drag to resize frame to match the height of reference design object,[drag] [reference] to [resize] using [reference],,,,,,,,30.0,31.000000000000455,1.0000000000004547,<2 seconds,2.0000000000004547,1.5000000000004547,
,,,62.0,62.0,deselect,[deselect],,,,,,,,32.0,32.0,0.0,<1 second,1.0,0.5,
,,,62.01,62.06,create text next to reference design object,[create] [text object] at [new position] on [canvas] using [reference],,creating text using reference,,,,,,33.0,38.0,5.0,<6 seconds,6.0,5.5,
,,,62.06,62.06,change text from bold to regular,[gui interaction],,,,,,,,38.0,38.0,0.0,<1 second,1.0,0.5,
,,,62.07,62.07,deselect text ,[deselect],,,,,,,,39.0,39.0,0.0,<1 second,1.0,0.5,
,,,62.08,62.08,select text,[select] [reference] on [canvas] using [cursor],,,,,,,,40.0,40.0,0.0,<1 second,1.0,0.5,
,,,62.09,62.24,update text,[update] [text object] using [keyboard],,,,,,,,41.000000000000455,56.0,14.999999999999545,<16 seconds,15.999999999999545,15.499999999999545,
,,,62.24,62.24,mistake,[mistake/redundant],,,,,,,,56.0,56.0,0.0,<1 second,1.0,0.5,
,,,62.24,62.24,select design object,[select] [reference] on [canvas] using [cursor],,,,,,,,56.0,56.0,0.0,<1 second,1.0,0.5,
,,,62.25,62.25,drag text to right hand corner of frame…,[drag] [reference] to [new position] using [cursor] and [reference],,reference positioning,,,,,,57.0,57.0,0.0,<1 second,1.0,0.5,
,,,62.25,62.28,drag text back to where it was before,[drag] [reference] to [new position] using [cursor] and [reference],,reference positioning,,,,,,57.0,60.0,3.0,<4 seconds,4.0,3.5,
